,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
108,28,79,8,9,28079008_9_47,2010,1,7.0,V,9.0,V,10.0,V,6.0,V,7.0,V,6.0,V,5.0,V,7.0,V,8.0,V,9.0,V,14.0,V,9.0,V,9.0,V,8.0,V,14.0,V,13.0,V,11.0,V,13.0,V,11.0,V,9.0,V,15.0,V,26.0,V,12.0,V,8.0,V,3.0,V,6.0,V,8.0,V,12.0,V,11.0,V,5.0,V,6.0,V,9.580645161290322
109,28,79,8,9,28079008_9_47,2010,2,7.0,V,9.0,V,12.0,V,18.0,V,8.0,V,6.0,V,10.0,V,8.0,V,5.0,V,7.0,V,6.0,V,9.0,V,7.0,V,5.0,V,10.0,V,9.0,V,8.0,V,7.0,V,11.0,V,6.0,V,6.0,V,7.0,V,8.0,V,11.0,V,9.0,V,14.0,V,6.0,V,3.0,V,0.0,N,0.0,N,0.0,N,8.321428571428571
110,28,79,8,9,28079008_9_47,2010,3,7.0,V,5.0,V,8.0,V,12.0,V,8.0,V,6.0,V,7.0,V,6.0,V,11.0,V,12.0,V,14.0,V,13.0,V,13.0,V,9.0,V,9.0,V,9.0,V,14.0,V,26.0,V,28.0,V,45.0,V,36.0,V,23.0,V,17.0,V,22.0,V,10.0,V,10.0,V,10.0,V,12.0,V,14.0,V,10.0,V,9.0,V,14.096774193548388
111,28,79,8,9,28079008_9_47,2010,4,6.0,V,9.0,V,9.0,V,8.0,V,8.0,V,13.0,V,12.0,V,9.0,V,11.0,V,11.0,V,10.0,V,16.0,V,12.0,V,10.0,V,14.0,V,13.0,V,8.0,V,8.0,V,10.0,V,12.0,V,15.0,V,10.0,V,12.0,V,13.0,V,16.0,V,13.0,V,16.0,V,14.0,V,16.0,V,14.0,V,0.0,N,11.7
112,28,79,8,9,28079008_9_47,2010,5,10.0,V,6.0,V,5.0,V,7.0,V,10.0,V,12.0,V,14.0,V,16.0,V,11.0,V,8.0,V,12.0,V,10.0,V,10.0,V,11.0,V,6.0,V,7.0,V,12.0,V,12.0,V,10.0,V,16.0,V,16.0,V,15.0,V,17.0,V,14.0,V,15.0,V,13.0,V,12.0,V,11.0,V,10.0,V,13.0,V,11.0,V,11.483870967741936
113,28,79,8,9,28079008_9_47,2010,6,10.0,V,9.0,V,9.0,V,15.0,V,18.0,V,12.0,V,14.0,V,11.0,V,8.0,V,10.0,V,12.0,V,8.0,V,6.0,V,9.0,V,5.0,V,10.0,V,13.0,V,16.0,V,10.0,V,8.0,V,12.0,V,14.0,V,15.0,V,18.0,V,19.0,V,11.0,V,11.0,V,16.0,V,14.0,V,16.0,V,0.0,N,12.133333333333333
114,28,79,8,9,28079008_9_47,2010,7,23.0,V,20.0,V,14.0,V,16.0,V,15.0,V,16.0,V,22.0,V,25.0,V,23.0,V,20.0,V,21.0,V,18.0,V,17.0,V,12.0,V,11.0,V,21.0,V,13.0,V,17.0,V,20.0,V,18.0,V,14.0,V,13.0,V,9.0,V,11.0,V,8.0,V,10.0,V,13.0,V,18.0,V,15.0,V,9.0,V,19.0,V,16.35483870967742
115,28,79,8,9,28079008_9_47,2010,8,20.0,V,22.0,V,6.0,V,10.0,V,9.0,V,15.0,V,20.0,V,26.0,V,39.0,V,60.0,V,29.0,V,22.0,V,7.0,V,6.0,V,11.0,V,17.0,V,14.0,V,19.0,V,22.0,V,18.0,V,17.0,V,13.0,V,13.0,V,12.0,V,15.0,V,19.0,V,13.0,V,12.0,V,11.0,V,11.0,V,23.0,V,18.0
116,28,79,8,9,28079008_9_47,2010,9,20.0,V,17.0,V,12.0,V,17.0,V,18.0,V,20.0,V,13.0,V,7.0,V,14.0,V,14.0,V,21.0,V,21.0,V,15.0,V,15.0,V,21.0,V,24.0,V,11.0,V,9.0,V,12.0,V,17.0,V,15.0,V,20.0,V,27.0,V,7.0,V,4.0,V,6.0,V,11.0,V,15.0,V,12.0,V,21.0,V,0.0,N,15.466666666666667
117,28,79,8,9,28079008_9_47,2010,10,20.0,V,20.0,V,14.0,V,7.0,V,16.0,V,21.0,V,19.0,V,20.0,V,14.0,V,9.0,V,13.0,V,8.0,V,12.0,V,16.0,V,15.0,V,12.0,V,8.0,V,12.0,V,20.0,V,28.0,V,23.0,V,24.0,V,26.0,V,21.0,V,7.0,V,19.0,V,24.0,V,28.0,V,22.0,V,7.0,V,8.0,V,16.838709677419356
